age,workclass,education_num,marital_status,relationship,race,sex,capital_gain,capital_loss,hours_per_week,income,occupation_grouped,native_country_grouped
39,State-gov,13,Never-married,Not-in-family,White,Male,2174,0,40,<=50K,Adm-clerical,United-States
50,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,0,0,13,<=50K,Exec-managerial,United-States
38,Private,9,Divorced,Not-in-family,White,Male,0,0,40,<=50K,Other,United-States
53,Private,7,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Other,United-States
28,Private,13,Married-civ-spouse,Wife,Black,Female,0,0,40,<=50K,Prof-specialty,Other
37,Private,14,Married-civ-spouse,Wife,White,Female,0,0,40,<=50K,Exec-managerial,United-States
49,Private,5,Married-spouse-absent,Not-in-family,Black,Female,0,0,16,<=50K,Other-service,Other
52,Self-emp-not-inc,9,Married-civ-spouse,Husband,White,Male,0,0,45,>50K,Exec-managerial,United-States
31,Private,14,Never-married,Not-in-family,White,Female,14084,0,50,>50K,Prof-specialty,United-States
42,Private,13,Married-civ-spouse,Husband,White,Male,5178,0,40,>50K,Exec-managerial,United-States
37,Private,10,Married-civ-spouse,Husband,Black,Male,0,0,80,>50K,Exec-managerial,United-States
30,State-gov,13,Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,0,40,>50K,Prof-specialty,Other
23,Private,13,Never-married,Own-child,White,Female,0,0,30,<=50K,Adm-clerical,United-States
32,Private,12,Never-married,Not-in-family,Black,Male,0,0,50,<=50K,Sales,United-States
34,Private,4,Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,0,45,<=50K,Other,Mexico
25,Self-emp-not-inc,9,Never-married,Own-child,White,Male,0,0,35,<=50K,Other,United-States
32,Private,9,Never-married,Unmarried,White,Male,0,0,40,<=50K,Machine-op-inspct,United-States
38,Private,7,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Sales,United-States
43,Self-emp-not-inc,14,Divorced,Unmarried,White,Female,0,0,45,>50K,Exec-managerial,United-States
40,Private,16,Married-civ-spouse,Husband,White,Male,0,0,60,>50K,Prof-specialty,United-States
54,Private,9,Separated,Unmarried,Black,Female,0,0,20,<=50K,Other-service,United-States
35,Federal-gov,5,Married-civ-spouse,Husband,Black,Male,0,0,40,<=50K,Other,United-States
43,Private,7,Married-civ-spouse,Husband,White,Male,0,2042,40,<=50K,Other,United-States
59,Private,9,Divorced,Unmarried,White,Female,0,0,40,<=50K,Other,United-States
56,Local-gov,13,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Other,United-States
19,Private,9,Never-married,Own-child,White,Male,0,0,40,<=50K,Craft-repair,United-States
39,Private,9,Divorced,Not-in-family,White,Male,0,0,80,<=50K,Exec-managerial,United-States
49,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Craft-repair,United-States
23,Local-gov,12,Never-married,Not-in-family,White,Male,0,0,52,<=50K,Other,United-States
20,Private,10,Never-married,Own-child,Black,Male,0,0,44,<=50K,Sales,United-States
45,Private,13,Divorced,Own-child,White,Male,0,1408,40,<=50K,Exec-managerial,United-States
30,Federal-gov,10,Married-civ-spouse,Own-child,White,Male,0,0,40,<=50K,Adm-clerical,United-States
22,State-gov,10,Married-civ-spouse,Husband,Black,Male,0,0,15,<=50K,Other-service,United-States
48,Private,7,Never-married,Unmarried,White,Male,0,0,40,<=50K,Machine-op-inspct,Other
21,Private,10,Never-married,Own-child,White,Male,0,0,40,<=50K,Machine-op-inspct,United-States
19,Private,9,Married-AF-spouse,Wife,White,Female,0,0,25,<=50K,Adm-clerical,United-States
48,Self-emp-not-inc,12,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Prof-specialty,United-States
31,Private,5,Married-civ-spouse,Husband,White,Male,0,0,43,<=50K,Machine-op-inspct,United-States
53,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Prof-specialty,United-States
24,Private,13,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Other,United-States
49,Private,9,Separated,Unmarried,White,Female,0,0,40,<=50K,Adm-clerical,United-States
25,Private,9,Never-married,Not-in-family,White,Male,0,0,35,<=50K,Other,United-States
57,Federal-gov,13,Married-civ-spouse,Husband,Black,Male,0,0,40,>50K,Prof-specialty,United-States
53,Private,9,Married-civ-spouse,Husband,White,Male,0,0,38,<=50K,Machine-op-inspct,United-States
44,Private,14,Divorced,Unmarried,White,Female,0,0,40,<=50K,Exec-managerial,United-States
41,State-gov,11,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Craft-repair,United-States
29,Private,11,Never-married,Not-in-family,White,Male,0,0,43,<=50K,Prof-specialty,United-States
25,Private,10,Married-civ-spouse,Wife,Other,Female,0,0,40,<=50K,Exec-managerial,United-States
47,Private,15,Married-civ-spouse,Wife,White,Female,0,1902,60,>50K,Prof-specialty,Other
50,Federal-gov,13,Divorced,Not-in-family,White,Male,0,0,55,>50K,Exec-managerial,United-States
47,Self-emp-inc,9,Divorced,Not-in-family,White,Male,0,0,60,<=50K,Exec-managerial,United-States
43,Private,10,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Other,United-States
46,Private,3,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Machine-op-inspct,Mexico
35,Private,11,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other-service,Other
41,Private,9,Married-civ-spouse,Husband,White,Male,0,0,48,<=50K,Adm-clerical,United-States
30,Private,9,Married-civ-spouse,Husband,White,Male,5013,0,40,<=50K,Machine-op-inspct,United-States
30,Private,13,Married-civ-spouse,Husband,White,Male,2407,0,40,<=50K,Sales,United-States
48,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other,United-States
42,Private,16,Married-civ-spouse,Husband,White,Male,0,0,45,>50K,Prof-specialty,United-States
29,Private,10,Divorced,Not-in-family,White,Male,0,0,58,<=50K,Other,United-States
36,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Craft-repair,United-States
28,Private,10,Divorced,Not-in-family,White,Female,0,0,40,<=50K,Adm-clerical,United-States
53,Private,9,Married-civ-spouse,Wife,White,Female,0,0,40,>50K,Adm-clerical,United-States
49,Self-emp-inc,10,Married-civ-spouse,Husband,White,Male,0,0,50,>50K,Exec-managerial,United-States
19,Private,10,Never-married,Own-child,White,Male,0,0,32,<=50K,Prof-specialty,United-States
31,Private,13,Separated,Own-child,Black,Female,0,0,40,<=50K,Sales,United-States
29,Self-emp-not-inc,13,Married-civ-spouse,Husband,White,Male,0,0,70,>50K,Sales,United-States
23,Private,10,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Machine-op-inspct,United-States
79,Private,10,Married-civ-spouse,Other-relative,White,Male,0,0,20,<=50K,Prof-specialty,United-States
27,Private,9,Never-married,Own-child,White,Male,0,0,40,<=50K,Other-service,Mexico
40,Private,12,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Adm-clerical,United-States
18,Private,7,Never-married,Own-child,White,Female,0,0,22,<=50K,Other-service,United-States
31,Local-gov,4,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other,United-States
18,Private,9,Never-married,Not-in-family,White,Male,0,0,30,<=50K,Sales,United-States
52,Private,13,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other-service,Other
46,Private,9,Married-civ-spouse,Wife,White,Female,0,0,40,<=50K,Other-service,United-States
59,Private,9,Married-civ-spouse,Husband,White,Male,0,0,48,<=50K,Sales,United-States
44,Private,9,Divorced,Not-in-family,White,Female,14344,0,40,>50K,Craft-repair,United-States
53,Private,9,Divorced,Own-child,White,Female,0,0,35,<=50K,Sales,United-States
49,Local-gov,9,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Other,United-States
33,Private,14,Married-civ-spouse,Husband,White,Male,0,0,50,<=50K,Prof-specialty,United-States
30,Private,5,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Sales,United-States
43,Federal-gov,16,Never-married,Not-in-family,White,Female,0,0,50,>50K,Prof-specialty,United-States
57,Private,11,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Prof-specialty,United-States
37,Private,10,Divorced,Unmarried,White,Female,0,0,40,<=50K,Craft-repair,United-States
28,Private,10,Divorced,Unmarried,Black,Female,0,0,25,<=50K,Machine-op-inspct,United-States
34,Local-gov,13,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Other,United-States
29,Local-gov,10,Never-married,Not-in-family,White,Male,0,0,50,<=50K,Other,United-States
48,Self-emp-not-inc,16,Married-civ-spouse,Husband,White,Male,0,1902,60,>50K,Prof-specialty,United-States
37,Private,10,Married-civ-spouse,Husband,White,Male,0,0,48,>50K,Sales,United-States
48,Private,12,Divorced,Unmarried,White,Female,0,0,40,<=50K,Exec-managerial,Other
32,Federal-gov,9,Never-married,Own-child,Black,Male,0,0,40,<=50K,Other-service,United-States
76,Private,14,Married-civ-spouse,Husband,White,Male,0,0,40,>50K,Exec-managerial,United-States
44,Private,13,Married-civ-spouse,Husband,White,Male,15024,0,60,>50K,Exec-managerial,United-States
47,Self-emp-not-inc,14,Never-married,Not-in-family,White,Female,0,0,50,<=50K,Prof-specialty,United-States
20,Private,10,Never-married,Own-child,White,Female,0,0,40,<=50K,Other,United-States
29,Private,9,Never-married,Not-in-family,White,Male,0,0,40,<=50K,Craft-repair,United-States
32,Self-emp-inc,9,Married-civ-spouse,Husband,White,Male,7688,0,40,>50K,Craft-repair,United-States
30,Private,7,Never-married,Own-child,White,Male,0,0,40,<=50K,Other,United-States
31,Local-gov,9,Never-married,Not-in-family,White,Female,0,0,40,<=50K,Adm-clerical,United-States
42,Private,9,Married-civ-spouse,Husband,White,Male,0,0,40,<=50K,Other,United-States
